a	a	9142
a	v	8020
a	s	7183
a	p	6627
a	A	6098
a	k	5657
a	x	3960
a	m	3909
a	S	3477
a	u	3313
a	g	2523
a	r	2451
a	n	2304
a	B	2223
a	j	2089
a	w	1756
a	X	1547
a	l	1526
a	c	1489
a	y	1394
a	h	1366
a	b	1068
a	i	1024
i	s	1002
a	q	967
i	p	936
i	v	848
a	I	807
A	a	791
i	k	734
A	b	719
i	x	542
i	a	534
I	p	521
A	p	520
A	r	514
i	S	506
u	p	502
i	m	501
A	w	470
A	A	461
A	v	440
A	m	437
u	v	433
u	s	423
i	g	422
a	G	410
A	s	406
a	P	402
u	k	356
i	j	354
I	m	338
i	n	322
w	p	319
A	k	313
u	m	310
A	q	301
A	i	260
u	n	256
A	x	252
u	a	244
A	S	244
w	a	244
a	o	234
u	x	229
i	B	224
w	k	223
u	S	217
i	w	216
a	K	203
i	y	201
A	y	196
w	m	191
w	v	190
A	u	190
i	r	189
i	h	172
w	s	171
w	g	157
a	C	157
i	l	157
A	g	149
A	n	147
u	r	145
a	e	143
uH	v	141
u	j	138
i	A	137
A	B	127
I	v	122
I	k	120
I	w	117
w	A	115
u	w	113
i	b	113
aH	s	111
i	c	111
I	s	110
A	X	109
u	B	103
u	A	98
aH	a	96
u	g	96
I	S	96
u	l	94
A	j	93
i	X	93
aH	v	92
aH	p	89
aH	m	88
t	m	88
aH	g	86
u	u	85
A	h	84
w	x	81
a	U	81
w	B	81
u	b	77
q	x	77
k	v	76
w	r	69
I	r	68
q	v	67
u	X	67
A	c	65
i	u	64
I	x	64
w	n	63
w	w	62
w	S	60
I	n	60
aH	S	59
aH	k	56
aH	w	56
A	o	56
a	R	55
uH	g	55
A	I	55
i	G	54
a	O	54
A	G	54
q	s	54
w	l	53
u	y	52
aH	c	51
w	j	51
k	m	50
w	u	50
aH	r	49
uH	m	49
o	m	49
o	k	49
u	h	48
q	p	46
I	c	43
u	c	43
a	E	42
uH	s	41
k	s	41
U	w	40
k	p	39
t	a	39
uH	a	38
I	g	38
q	g	38
I	P	36
aH	b	36
I	X	36
uH	X	36
m	p	36
w	P	35
A	l	34
aH	n	34
aH	y	34
u	G	33
U	p	33
A	P	33
q	m	33
w	c	32
i	i	31
k	y	31
uH	B	30
i	I	29
m	k	29
uH	p	28
t	k	28
i	P	27
aH	x	27
I	b	27
w	b	26
w	y	26
q	l	26
q	w	26
u	i	25
I	a	25
U	m	24
I	j	24
aH	j	24
I	B	24
w	X	24
U	n	24
U	X	24
k	x	23
k	B	23
m	c	23
t	g	22
I	y	22
U	x	22
aH	X	21
u	U	21
t	v	21
uH	S	21
k	a	21
uH	k	20
k	A	19
q	S	19
uH	y	19
o	r	19
aH	B	18
A	C	18
uH	x	18
m	n	18
m	A	18
aH	G	17
w	i	17
i	R	17
q	B	17
f	m	17
k	S	16
k	k	15
A	U	14
k	b	14
q	k	14
q	j	14
w	C	14
o	p	14
i	K	13
uH	b	13
uH	A	13
uH	l	13
U	S	13
U	v	13
t	s	13
u	P	12
U	g	12
o	v	12
IH	v	12
t	x	11
w	h	11
i	o	11
k	I	11
q	y	11
O	q	11
i	q	10
i	C	10
k	n	10
t	p	10
k	j	10
i	e	10
U	r	10
k	u	10
k	c	10
I	A	10
A	K	9
t	B	9
q	n	9
I	l	9
aH	h	9
U	B	9
U	j	9
t	A	9
o	l	9
m	a	9
t	j	8
w	I	8
q	A	8
aH	C	8
uH	h	8
t	c	7
u	C	7
uH	n	7
k	r	7
I	K	7
U	a	7
AH	w	7
q	h	6
iH	m	6
iH	s	6
iH	B	6
w	G	6
aH	l	6
iH	g	6
q	a	6
w	R	6
U	s	6
k	g	6
U	c	5
iH	v	5
k	w	5
I	h	5
iH	p	5
t	r	5
iH	A	5
U	P	5
k	i	5
uH	c	5
I	G	5
iH	y	5
a	t	5
uH	w	5
U	l	5
I	u	5
iH	X	5
q	b	4
t	C	4
aH	P	4
t	w	4
iH	k	4
uH	j	4
A	O	4
U	k	4
t	i	4
w	q	4
I	i	4
q	r	4
u	I	4
o	j	4
o	w	4
m	b	4
x	r	4
u	O	3
U	b	3
u	K	3
t	X	3
iH	x	3
uH	u	3
w	o	3
i	U	3
w	E	3
iH	n	3
k	l	3
a	d	3
k	X	3
U	A	3
iH	r	3
o	s	3
I	o	3
x	a	3
u	e	3
p	s	3
UH	v	3
aH	K	2
w	e	2
u	o	2
k	C	2
k	h	2
A	e	2
k	P	2
t	l	2
t	q	2
AH	j	2
a	J	2
o	x	2
q	G	2
iH	w	2
O	v	2
w	U	2
iH	a	2
w	K	2
p	X	2
x	u	2
m	s	2
w	O	2
f	g	2
o	S	2
m	m	2
m	B	2
p	x	2
t	b	1
iH	l	1
k	O	1
MH	w	1
I	J	1
S	y	1
k	K	1
iH	S	1
q	c	1
t	e	1
t	n	1
I	R	1
uH	C	1
i	t	1
p	a	1
t	y	1
iH	j	1
p	j	1
u	R	1
iH	C	1
t	G	1
m	y	1
uH	q	1
AH	s	1
uH	O	1
q	C	1
uH	r	1
f	k	1
U	U	1
uH	i	1
S	S	1
m	x	1
o	X	1
A	E	1
q	R	1
iH	c	1
m	g	1
t	U	1
U	y	1
U	K	1
o	g	1
I	d	1
I	t	1
p	C	1
O	r	1
p	l	1